[2025-07-18 20:50:29] [EasyTrainerLogger] Logger initialized. Writing to log_2.txt and log_current.txt
[2025-07-18 20:50:29] [EasyTrainerInit] Starting initialization
[2025-07-18 20:50:29] [EasyTrainerInit] Performing data dumps and loading to memory.
[2025-07-18 20:50:29] [EasyTrainerWeaponLoader] Loaded 1778 weapons.
[2025-07-18 20:50:30] [EasyTrainerVehicleLoader] Loaded 534 vehicles (Injected 0 new).
[2025-07-18 20:50:30] Silencio (Items.MeleeMod3_Common) | Common | Unknown | itemPart, WeaponMod, MeleeMod, Common
[2025-07-18 20:50:30] Unknown (Items.ma_wbr_jpn_107_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Tier 2 Item Components (Items.UncommonMaterial1) | Uncommon | Crafting Material | CraftingPart, HideInBackpackUI
[2025-07-18 20:50:30] Abstract Painting (Items.GenericRichJunkItem2) | Unknown | Junk | Junk, NoVisuals
[2025-07-18 20:50:30] Unknown (Items.DennysBatWeaponMod) | Unknown | Unknown | itemPart, WeaponMod, MeleeMod, HideInUI, HideAtVendor
[2025-07-18 20:50:30] Kiroshi \"Stalker\" Optics (Items.AdvancedKiroshiOpticsPiercingUncommonPlus) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.ma_bls_ina_se1_23_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.crowd_guitar_pick) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Unknown (Items.generic_arasaka_bombing_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.w_rifle_assault__darra_umbra__mag_std) | Unknown | Magazine | itemPart
[2025-07-18 20:50:30] Militech Berserk (Items.BerserkC4MK5) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Berserk
[2025-07-18 20:50:30] Isometric Stabilizer (Items.IconicShockAbsorberLegendary) | Iconic | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:30] Kinetic Frame (Items.AdvancedBoneMarrowCellsLegendary2PlusPlus) | Legendary | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.w_handgun__kang_tao_chao__mag_std) | Unknown | Magazine | itemPart
[2025-07-18 20:50:30] Security Arrangements (Items.q303_hands_security_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Headtoll (Items.PRSRMod2_Rare) | Rare | Sniper Mod | itemPart, WeaponMod, RangedMod, Rare
[2025-07-18 20:50:30] Unknown (Items.ep1_generic_cz_article_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.crowd_cellphone) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI, ItemDecoration_CellPhone
[2025-07-18 20:50:30] Unknown (Items.locomotion_crowd_cellphone) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI, ItemDecoration_CellPhone, ItemDecoration_CellPhone
[2025-07-18 20:50:30] Unknown (Items.w_att_power_street_12604_mzl) | Unknown | Miscellaneous | WeaponAttachment
[2025-07-18 20:50:30] Microvibration Generator (Items.MicroVibrationsGeneratorRare) | Rare | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Handle Wrap (Items.AdvancedKnifeSharpenerLegendaryPlusPlus) | Legendary++ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.sa_ep1_303_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Chrome Compressor (Items.CapacityBoosterRare) | Rare | Cyberware | Cyberware, HideInBackpackUI, CapacityBooster, IllegalItem
[2025-07-18 20:50:30] Unknown (Items.w_handgun__militech_omaha__base1) | Unknown | Muzzle | itemPart
[2025-07-18 20:50:30] Kneel! (Items.ShotgunMod2_Legendary) | Legendary | Unknown | itemPart, WeaponMod, RangedMod, Legendary, Exclusive
[2025-07-18 20:50:30] Unknown (Items.ma_cct_dtn_12_onscreen_03) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Haemocide (Items.BladeMod3_Epic) | Epic | Unknown | itemPart, WeaponMod, MeleeMod, BladeMod, Epic
[2025-07-18 20:50:30] Unknown (Items.locomotion_crowd_head_bucket) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Soldering Iron (Items.MaelstromJunkItem2) | Unknown | Junk | Junk, FactionItem, Maelstrom, NoVisuals
[2025-07-18 20:50:30] Shard (Items.ma_wat_nid_16_shard) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:30] Unknown (Items.ma_hey_spr_04_onscreen_03) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.ma_bls_ina_se1_14_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Shuffler (Items.RangedMod2_Rare) | Rare | Unknown | itemPart, WeaponMod, RangedMod, GenericRangedMod, Rare
[2025-07-18 20:50:30] Militech Berserk (Items.AdvancedBerserkC4MK5Plus) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Berserk, Iconic_OS_CW, Iconic_Militech_Berserk
[2025-07-18 20:50:30] Pyro (Items.PowerMod1_Rare) | Rare | Unknown | itemPart, WeaponMod, RangedMod, Power, Rare
[2025-07-18 20:50:30] Hair Wax (Items.GenericJunkItem15) | Unknown | Junk | Junk
[2025-07-18 20:50:30] Unknown (Items.TechWeaponMod02) | Unknown | Weapon Mod | itemPart, WeaponMod, DeprecatedWeaponMod, HideInUI, HideAtVendor
[2025-07-18 20:50:30] Zenith (Items.KiroshiOpticsFragment7) | Unknown | Unknown | itemPart, Fragment, itemPart, DummyPart, SkipActivityLog, HideInBackpackUI, HideInUI, HideAtVendor, DummyPart, HideInBackpackUI, HideAtVendor, SkipActivityLog
[2025-07-18 20:50:30] Kiroshi \"Doomsayer\" Optics (Items.AdvancedKiroshiOpticsHunterLegendaryPlus) | Legendary+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Dynalar Sandevistan (Items.SandevistanC2MK4) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Sandevistan
[2025-07-18 20:50:30] Unknown (Items.ma_bls_ina_se1_41_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Tetratronic Mk.3 (Items.TetratronicEpicMKIII) | Epic | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:30] Dense Marrow (Items.AdvancedDenseMarrowCommon) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.mws_jim_shard_lucky) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.AdvancedNanoWiresStatsShard) | Unknown | Cyberware Stat Mod | itemPart, Fragment, itemPart, SkipActivityLog, HideInBackpackUI
[2025-07-18 20:50:30] Deep-field Visual Interface (Items.IconicAdvancedVisualCortexSupportCommonPlus) | Common | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:30] Voodoo Rosary (Items.GenericJunkItem11) | Unknown | Junk | Junk
[2025-07-18 20:50:30] Militech Paraline (Items.AdvancedRareMidEnergyDeck) | Rare | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:30] Unknown (Items.w_handgun__constitutional_liberty__mag_std) | Unknown | Magazine | itemPart
[2025-07-18 20:50:30] Us Cracks Lyrics (Items.mq028_uscracks_lyrics_shard) | Unknown | Shard | Readable
[2025-07-18 20:50:30] Pain Editor (Items.AdvancedPainReductorEpicPlus) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.generic_gossip_magazine_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Crystal Palace - Book your stay at Sky Villa! (Items.q306_crystal_brochure_02_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Money Shard (Items.CyberwareUpgradeShardEpic) | Epic | Unknown | MoneyShard, HideInUI, SkipActivityLog, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.w_rifle_sniper__tsunami_nekomata__mag_stdr) | Unknown | Magazine | itemPart
[2025-07-18 20:50:30] Unknown (Items.ma_wbr_nok_103_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Feen-X (Items.AdvancedNeuroMatrixEpic2) | Epic | Cyberware | Cyberware, HideInBackpackUI, SkipActivityLog
[2025-07-18 20:50:30] Unknown (Items.w_special__krausser_authority__mag_std) | Unknown | Magazine | itemPart
[2025-07-18 20:50:30] Unknown (Items.ma_bls_ina_se1_08_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.CyberspadeWeaponMod) | Unknown | Unknown | itemPart, WeaponMod, MeleeMod, HideInUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.sts_padre_gang_retaliation_shard_gle_04) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Moore Tech Berserk (Items.AdvancedBerserkC1MK1) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Berserk
[2025-07-18 20:50:30] Unknown (Items.sts_wakako_gang_retaliation_shard_jpn_12) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Short Circuit (Items.EMPOverloadLvl4PlusPlusProgram) | Unknown | Quickhack | itemPart, SoftwareShard, Tier0Shard, HideProgramDuration, Tier1Shard, Tier2Shard, Tier3Shard, Tier6Shard
[2025-07-18 20:50:30] Target Analysis (Items.KiroshiOpticsFragment3) | Unknown | Fragment | itemPart, Fragment, itemPart, DummyPart, SkipActivityLog, HideInBackpackUI, HideInUI, HideAtVendor
[2025-07-18 20:50:30] Ballistic Coprocessor (Items.AdvancedPowerGrip_Tutorial_UncommonPlus) | Uncommon | Cyberware | Cyberware, HideInBackpackUI, MustBeWearableToPurchase
[2025-07-18 20:50:30] Epimorphic Skeleton (Items.AdvancedEndoskeletonEpic2Plus) | Epic | Cyberware | Cyberware, HideInBackpackUI, SkipActivityLog
[2025-07-18 20:50:30] Unknown (Items.ma_std_arr_07_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.sts_ep1_03_shard_020_patient_card_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Dense Marrow (Items.AdvancedDenseMarrowEpicPlus) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Clutch Padding (Items.AdvancedShockAbsorberEpicPlus) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] BD_9430 (Items.sts_wat_nid_04_recording) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:30] Military Pocket Knife (Items.MilitechJunkItem2) | Unknown | Junk | Junk, FactionItem, Militech, NoVisuals
[2025-07-18 20:50:30] Unknown (Items.tablet_c_neo_military) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Unknown (Items.KERSFragment3) | Unknown | Fragment | itemPart, Fragment, itemPart, DummyPart, SkipActivityLog, HideInBackpackUI, HideInUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.int_misc_001__microphone_b) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Unknown (Items.Handgun_MuzzleBrakeBase) | Unknown | Unknown | itemPart, WeaponMod, Muzzle_Brake, CourierReward
[2025-07-18 20:50:30] Ballistic Coprocessor (Items.AdvancedPowerGrip_Tutorial_CommonPlus) | Common | Cyberware | Cyberware, HideInBackpackUI, MustBeWearableToPurchase
[2025-07-18 20:50:30] Key to Thorton Mackinaw (Items.q103_panam_car_key) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:30] Self-ICE (Items.AntiVirus) | Unknown | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.CharacterCustomizationArms) | Unknown | Miscellaneous | base_fists, SkipActivityLog, IgnoreInventory, Quest, Preload, DoNotRegenerateOnPartChange
[2025-07-18 20:50:30] Unknown (Items.kitchen_tray_a) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Unknown (Items.ma_bls_ina_se1_33_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.crowd_fries_cone) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Remember the RED DECADES! (Items.q302_subway_red) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] XC-10 Cetus (Items.w_silencer_03) | Unknown | Muzzle | itemPart, WeaponMod, Silenced, AirDropReward, Tier4
[2025-07-18 20:50:30] Unknown (Items.ma_wat_nid_07_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.crowd_kitchen_tray_e) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Contagion (Items.ContagionLvl2Program) | Unknown | Quickhack | itemPart, SoftwareShard, Tier1Shard, Tier2Shard
[2025-07-18 20:50:30] Deep-field Visual Interface (Items.IconicAdvancedVisualCortexSupportUncommon) | Uncommon | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:30] RAM Recoup (Items.AdvancedCompilingSkeletonUncommon) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Burnout Buffer (Items.AdvancedSmartStorageCommon) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.locomotion_crowd_delivery_crate_d) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Full steam ahead (Items.q305_netrunner_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.generic_manipulation_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.mq055_panam_note) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.sts_wat_kab_08_onscreen_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.IconicMeleeWeaponModBase) | Iconic | Unknown | itemPart, WeaponMod, MeleeMod, HideInUI, HideAtVendor
[2025-07-18 20:50:30] Dense Marrow (Items.DenseMarrowRare) | Rare | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] [06.06.77] Surprise! (Items.q306_love_letter_03) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Behavioral system component (Items.Q305_Cerberus_core_uncracked) | Unknown | Miscellaneous
[2025-07-18 20:50:30] Blood Pump (Items.AdvancedBloodPumpLegendaryPlusPlus) | Legendary++ | Unknown | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Adrenaline Booster (Items.AdvancedStaminaRegenBoosterCommon) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.ma_bls_ina_se1_04_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.crowd_acoustic_guitar_a) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI, OnDropFadeoutNoDelay
[2025-07-18 20:50:30] Unknown (Items.AdvancedReflexRecorderStatsShard) | Unknown | Cyberware Stat Mod | itemPart, Fragment, itemPart, SkipActivityLog, HideInBackpackUI
[2025-07-18 20:50:30] Synaptic Accelerator (Items.SynapticAcceleratorUncommon) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.AdvancedBioConductorsStatsShard) | Unknown | Cyberware Stat Mod | itemPart, Fragment, itemPart, SkipActivityLog, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.cbj_ep1_11_shard_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Critochet (Items.PowerMod3_Base) | Unknown | Unknown | itemPart, WeaponMod, RangedMod, Power
[2025-07-18 20:50:30] NCU Signet Ring (Items.CasinoRichJunkItem2) | Unknown | Unknown | Junk, Jewellery, NoVisuals
[2025-07-18 20:50:30] Burnout Buffer (Items.AdvancedSmartStorageEpic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.mws_hey_07_tyger_shard_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Countershell (Items.AdvancedSuddenAidLegendaryPlusPlus) | Legendary++ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.sts_ep1_07_shard_003) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Synthetic Blood (Items.sts_wat_kab_02_synth_blood) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:30] Monowire Battery, Medium-Capacity (Items.MediumChargedWiresBattery) | Unknown | Fragment | itemPart, Fragment, itemPart, DummyPart, SkipActivityLog, HideInBackpackUI, HideInUI, HideAtVendor, itemPart
[2025-07-18 20:50:30] Unknown (Items.w_handgun__malorian_silverhand__mag_std) | Unknown | Magazine | itemPart
[2025-07-18 20:50:30] Stabilizer (Items.PRSRMod1_Common) | Common | Sniper Mod | itemPart, WeaponMod, RangedMod, Common
[2025-07-18 20:50:30] Endotrisine (Items.Endotrisine) | Unknown | Miscellaneous
[2025-07-18 20:50:30] Bionic Joints (Items.AdvancedBionicJointsUncommon2) | Uncommon | Cyberware | Cyberware, HideInBackpackUI, SkipActivityLog
[2025-07-18 20:50:30] Para Bellum (Items.AdvancedT1000Epic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.SimpleWeaponMod02Rare) | Rare | Weapon Mod | itemPart, WeaponMod, DeprecatedWeaponMod, HideInUI, HideAtVendor
[2025-07-18 20:50:30] Lynx Paws (Items.AdvancedCatPawsUncommon) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.sts_ep1_10_enemy_shard_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Kerenzikov Boost System (Items.AdvancedKerenziovBoostSystemLegendaryPlusPlus) | Legendary++ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.WeaponHandgunReceiverBase) | Unknown | Unknown | itemPart
[2025-07-18 20:50:30] Grandstand Mk.2x (Items.w_att_scope_long_01) | Unknown | Unknown | itemPart, WeaponMod, LongScope, AirDropReward, Tier1-4
[2025-07-18 20:50:30] Bait (Items.WhistleLvl1Program) | Unknown | Quickhack | itemPart, SoftwareShard, Tier0Shard, Tier1Shard
[2025-07-18 20:50:30] Datashard (Items.ma_std_arr_07_crackable_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor, Quest
[2025-07-18 20:50:30] Unknown (Items.sts_hey_spr_01_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Shock-n-Awe (Items.AdvancedElectroshockMechanismCommonPlus) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Chitin (Items.IconicAdvancedChitonUncommon) | Uncommon | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:30] Blade – Thermal Damage (Items.ThermalDamageEdge) | Unknown | Fragment | itemPart, Fragment, itemPart, DummyPart, SkipActivityLog, HideInBackpackUI, HideInUI, HideAtVendor, itemPart
[2025-07-18 20:50:30] Unknown (Items.w_rifle_precision__midnight_sor22__mag_stdr) | Unknown | Magazine | itemPart
[2025-07-18 20:50:30] Adrenaline Booster (Items.StaminaRegenBoosterRare) | Rare | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Heal-On-Kill (Items.HealOnKillUncommon) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.w_special__militech_hercules__mag_stdr_1) | Unknown | Magazine | itemPart
[2025-07-18 20:50:30] Unknown (Items.w_biohazard_core) | Unknown | Unknown | itemPart
[2025-07-18 20:50:30] Unknown (Items.Base_Sniper_Scope) | Unknown | Miscellaneous | itemPart, WeaponMod, SniperScope, AirDropReward
[2025-07-18 20:50:30] QianT \"Warp Dancer\" Sandevistan (Items.AdvancedSandevistanC3MK5Plus) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Sandevistan
[2025-07-18 20:50:30] Airstrike (Items.MeleeMod1_Uncommon) | Uncommon | Unknown | itemPart, WeaponMod, MeleeMod, Uncommon
[2025-07-18 20:50:30] Unknown (Items.RangedWeaponMod) | Unknown | Unknown | itemPart, WeaponMod, RangedMod
[2025-07-18 20:50:30] Me-thrill (Items.SimpleFabricEnhancer09Rare) | Rare | Miscellaneous | itemPart, FabricEnhancer, DeprecatedFabricEnhancer, HideInUI, HideAtVendor, DummyPart
[2025-07-18 20:50:30] Unknown (Items.generic_q113_estate_gift) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Kiroshi \"Cockatrice\" Optics (Items.Iconic_AdvancedKiroshiOpticsBareEpicPlus) | Iconic | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:30] Airstrike (Items.MeleeMod1_Base) | Unknown | Unknown | itemPart, WeaponMod, MeleeMod
[2025-07-18 20:50:30] Shard from Songbird (Items.Q306_message_shard_decrypted) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:30] Unknown (Items.ep1_growl_03) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Night Corporation Construction Site: Access Strictly Prohibited (Items.q307_corporate_takover_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Meditative Braindance – Air (Items.mq014_air_braindance) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:30] Unknown (Items.generic_gnostic_02_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.generic_ubik_quote_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
